Simulation challenge 汇总（按 challenge_tags 聚合）
================================================================================

challenge          n_tasks  rag_成功率(mean±std) rag_learned_成功率(mean±std) task_heuristic_成功率(mean±std) direct_llm_成功率(mean±std) fixed_成功率(mean±std)
--------------------------------------------------------------------------------
compliant          2        78.33%±4.72% 35.84%±12.96% 60.00%±16.50% 10.84%±1.18% 25.00%±2.36%
fragile            6        74.44%±5.02% 38.61%±15.29% 54.17%±16.89% 11.95%±5.21% 28.61%±17.30%
heavy              4        67.92%±7.98% 32.50%±7.87% 49.58%±8.32% 15.00%±4.08% 30.84%±8.22%
high_friction      2        78.33%±4.72% 35.84%±12.96% 60.00%±16.50% 10.84%±1.18% 25.00%±2.36%
high_speed         5        74.00%±4.65% 43.33%±4.86% 62.00%±14.02% 12.00%±3.61% 30.33%±16.13%
large              2        64.17%±10.61% 30.00%±4.71% 55.00%±9.43% 12.50%±3.54% 33.34%±9.43%
long_transfer      1        56.67%±0.00% 26.67%±0.00% 48.33%±0.00% 10.00%±0.00% 26.67%±0.00%
low_friction       4        75.83%±5.69% 44.58%±13.43% 59.17%±18.39% 13.75%±5.51% 37.92%±12.35%
precision          2        75.83%±3.54% 55.00%±18.85% 75.00%±2.36% 14.16%±1.18% 55.84%±15.32%
small              2        75.83%±3.54% 55.00%±18.85% 75.00%±2.36% 14.16%±1.18% 55.84%±15.32%
thin_wall          2        71.67%±2.35% 26.67%±14.14% 44.17%±10.61% 8.34%±2.35% 10.00%±0.00%
